id,question,reference_answer,skill,topic,subtopic,difficulty,category,role,keywords,evaluation_points,estimated_time_seconds
76,What is Infrastructure as Code (IaC)? Name common tools.,"IaC manages infrastructure through machine-readable config files rather than manual processes. Benefits: version control for infrastructure, reproducible environments, automated provisioning, drift detection, collaboration via code review. Tools: Terraform (cloud-agnostic, HCL, state management, plan/apply workflow), Pulumi (general-purpose languages), AWS CloudFormation (AWS-native, YAML/JSON), Ansible (configuration management + provisioning, agentless, YAML playbooks), Chef/Puppet (agent-based config management). Immutable infrastructure: replace rather than modify.",DevOps,Infrastructure,IaC,Medium,Technical,DevOps Engineer|Cloud Engineer|Backend Developer|Software Engineer,IaC|Terraform|Ansible|CloudFormation|Pulumi|HCL|idempotent|drift|state|immutable infrastructure,IaC benefits over manual provisioning|Terraform plan/apply workflow|Ansible agentless configuration management|Immutable infrastructure concept,90
77,What is a data pipeline and how would you build one?,"A data pipeline moves data from source to destination through stages: Extract (DB, API, files, streams), Transform (clean, enrich, aggregate, validate), Load (DW, data lake, feature store). Tools: Batch (Apache Spark, dbt), Streaming (Apache Kafka + Flink/Spark Streaming), Orchestration (Apache Airflow, Prefect, Dagster), Storage (S3, GCS, HDFS, Snowflake, BigQuery). Key concerns: schema evolution, backfilling, monitoring, idempotency, lineage tracking.",Data Engineering,Data Architecture,Data Pipelines,Medium,Technical,Data Engineer|Backend Developer|Software Engineer|Data Scientist,data pipeline|ETL|ELT|Spark|Kafka|Airflow|dbt|BigQuery|Snowflake|idempotency|lineage,ETL/ELT stage definitions|Batch vs streaming processing tools|Orchestration for scheduling and monitoring|Idempotency in pipeline runs,120
78,What is a binary search algorithm and when should you use it?,"Binary search halves the search space each step: check middle element, if target < middle go left, if target > middle go right. Time O(log N), Space O(1). Requires sorted input. Use when: searching in sorted arrays, finding insertion points, searching for boundaries (first/last occurrence of value). Python: bisect module. Variations: finding first occurrence (leftmost), finding last occurrence, searching in rotated sorted array.",Computer Science,Algorithms,Search Algorithms,Easy,Technical,Software Engineer|Backend Developer|Full Stack Developer|Data Scientist,binary search|O(log N)|sorted|bisect|leftmost|rightmost|boundary,Binary search halving mechanism|O(log N) complexity|Sorted input requirement|Finding boundaries (first/last occurrence),60
79,Explain what happens when you type a URL in the browser and press Enter.,"1. Browser checks cache (memory → disk → OS). 2. DNS resolution (browser cache → OS cache → resolver → root nameserver → TLD → authoritative NS). 3. TCP connection (3-way handshake: SYN, SYN-ACK, ACK). 4. TLS handshake (if HTTPS: certificate exchange, key agreement, session establishment). 5. HTTP request (GET / HTTP/1.1 or HTTP/2). 6. Server processes, returns response. 7. Browser parses HTML → Critical Rendering Path (DOM, CSSOM, layout, paint). 8. JS executed, subsequent resources fetched.",Networking,Web Architecture,Browser Internals,Medium,Technical,Software Engineer|Frontend Developer|Backend Developer|Full Stack Developer,DNS|TCP|TLS|HTTP|cache|SYN|handshake|Critical Rendering Path|HTTPS,DNS resolution steps|TCP 3-way handshake|TLS handshake purpose|Critical rendering path stages,120
80,What is a linked list? Compare to arrays.,"Linked list: nodes with data + pointer to next node (singly) or next+prev (doubly). No random access (must traverse), O(N) access by index. Insertions/deletions at head O(1), at tail O(1) for doubly linked. Arrays: contiguous memory, O(1) random access by index, O(N) insertion/deletion in middle (shift elements). Use linked list when: frequent insertions/deletions at arbitrary positions, unknown size, implementing queues/deques. Use arrays for: random access, cache-friendly iteration, known size.",Computer Science,Data Structures,Linked Lists,Easy,Technical,Software Engineer|Backend Developer|Full Stack Developer|Data Scientist,linked list|singly linked|doubly linked|O(1)|O(N)|random access|contiguous memory|pointer,Linked list node structure|O(1) head/tail insertion vs O(N) for arrays|O(N) access vs O(1) for arrays|Use case selection criteria,90
81,What are design patterns? Explain Singleton and Observer.,"Design patterns are reusable solutions to common software design problems (GoF: Gang of Four). Creational: Singleton (one instance, global access — use carefully, global state is a code smell), Factory (create objects without specifying exact class), Builder (complex object construction step by step). Structural: Adapter, Decorator, Facade. Behavioral: Observer (subject maintains list of observers, notifies on state change — event systems, MVC), Strategy (interchangeable algorithms), Command. Anti-patterns to avoid: Singleton abuse, God Object.",Software Engineering,Object Oriented Design,Design Patterns,Medium,Technical,Software Engineer|Backend Developer|Full Stack Developer|Frontend Developer,design patterns|Singleton|Observer|Factory|Builder|Decorator|Strategy|GoF|behavioral|creational,GoF pattern category overview|Singleton purpose and risks|Observer pattern mechanics|Strategy pattern for algorithm interchangeability,90
82,What is idempotency in API design and why is it important?,"An idempotent operation produces the same result regardless of how many times it's executed (same request = same server state). HTTP: GET, PUT, DELETE are idempotent; POST is not. Importance: enables safe retries (network failures, timeouts), prevents duplicate operations (double-charge, duplicate order). Implementation: idempotency keys (client generates UUID per request, server deduplicates by key stored with TTL). Critical for: payment APIs, order creation, any state-changing operations on flaky networks.",System Design,API Design,Idempotency,Medium,Technical,Backend Developer|Full Stack Developer|Software Engineer|Cloud Engineer,idempotency|idempotent|POST|PUT|DELETE|UUID|retry|duplicate|payment API,Idempotency definition and HTTP method mapping|Retry safety for network failures|Idempotency key implementation|Deduplication storage and TTL,90
83,How would you debug a slow SQL query?,"Step 1: EXPLAIN ANALYZE to see query plan (seq scan vs index scan, estimated vs actual rows, bottleneck operations). Step 2: Check missing indexes on WHERE/JOIN/ORDER BY columns. Step 3: Look for N+1 queries (ORM issues — use eager loading). Step 4: Rewrite with CTEs or subquery optimization. Step 5: Check table statistics (ANALYZE). Step 6: Partition large tables. Step 7: Read replicas for reporting queries. Step 8: Caching frequently-queried, rarely-changing data.",Databases,Database Optimization,Query Optimization,Hard,Technical,Backend Developer|Database Administrator|Full Stack Developer|Software Engineer|Data Engineer,EXPLAIN ANALYZE|query plan|index|N+1|ORM|CTE|partition|read replica|cache|statistics,EXPLAIN ANALYZE interpretation|Index identification for slow queries|N+1 query pattern and resolution|Read replica and caching strategies,120
84,What is serverless computing? What are its trade-offs?,"Serverless (FaaS): deploy functions without managing servers. Provider handles scaling, OS, runtime. AWS Lambda, Google Cloud Functions, Vercel Functions. Benefits: automatic scaling (including to zero), pay-per-invocation, no server management, fast deployment. Trade-offs: cold start latency (100ms-3s for first invocation), execution time limits, vendor lock-in, stateless (external state store required), harder to debug locally, limited compute resources. Best for: event-driven APIs, webhooks, background processing, low-traffic endpoints.",Cloud,Infrastructure,Serverless,Medium,Technical,Cloud Engineer|Backend Developer|DevOps Engineer|Full Stack Developer|Software Engineer,serverless|FaaS|Lambda|cold start|auto-scaling|pay-per-invocation|stateless|vendor lock-in,Serverless function invocation model|Cold start latency impact|Stateless constraint and external state|Cost model and auto-scaling to zero,90
85,Explain OAuth 2.0 authorization flows.,"OAuth 2.0 is an authorization framework for delegated access. Main flows: Authorization Code (web apps — code exchanged server-side for tokens, safest), PKCE extension for SPAs and mobile (code verifier prevents auth code interception), Client Credentials (machine-to-machine, no user), Device Code (TVs, CLI tools, devices without browser). Tokens: access_token (short-lived, sent with API calls), refresh_token (long-lived, exchange for new access_token). OIDC adds ID token (user identity) on top of OAuth2.",Security,Backend Architecture,OAuth,Hard,Technical,Backend Developer|Full Stack Developer|Software Engineer|Security Engineer,OAuth2|authorization code|PKCE|client credentials|access token|refresh token|OIDC|delegated access,Authorization Code flow for web apps|PKCE for public clients (SPA/mobile)|Client Credentials for M2M|Access token vs refresh token roles,120
86,What is a stack overflow? How do you avoid it?,"Stack overflow occurs when function call depth exceeds the call stack size limit — typically from infinite or deep recursion without a base case. Causes: missing base case, mutual recursion, very deep data structures. Solutions: add/fix base case, convert recursion to iteration (use explicit stack), tail call optimization (TCO — some languages optimize tail-recursive calls into iteration), increase stack size (last resort). Python default recursion limit: 1000 (sys.setrecursionlimit).",Computer Science,Data Structures,Stack,Easy,Technical,Software Engineer|Backend Developer|Full Stack Developer|Data Scientist,stack overflow|recursion|call stack|base case|tail call|TCO|iterative|sys.setrecursionlimit,Stack overflow definition and cause|Missing base case as primary cause|Iteration as recursion replacement|Tail call optimization concept,60
87,What is eventual consistency vs strong consistency? Give an example.,"Strong consistency: every read returns the most recent write (like traditional RDBMS with ACID). All nodes see the same data simultaneously. Latency trade-off. Eventual consistency: reads may return stale data temporarily, but all nodes converge to the same value eventually. Better performance/availability. Examples: Strong — bank balance (must be accurate). Eventual — social media likes count (brief staleness acceptable), DNS propagation (minutes to propagate globally), shopping cart (brief inconsistency tolerable).",Distributed Systems,System Design,Consistency,Medium,Technical,Backend Developer|Software Engineer|Cloud Engineer|Data Engineer,strong consistency|eventual consistency|ACID|staleness|convergence|DNS|bank|availability|CAP,Strong consistency guarantee and latency cost|Eventual consistency convergence|Real-world example for each type|CAP theorem relationship,90
88,Explain how you would build a search feature with autocomplete.,"Search: index data in Elasticsearch/OpenSearch or PostgreSQL full-text search (tsvector, GIN index). Query: match/multi-match for relevance scoring. Autocomplete: use edge n-gram tokenizer (indexes prefixes) or search_as_you_type field type. As-you-type: debounce client requests (300ms), abort previous request if new one starts. Redis cache popular queries. Pagination: search_after (cursor-based). Highlight matching terms in results. For fuzzy matching: Levenshtein distance (fuzziness parameter).",System Design,Backend Architecture,Search,Medium,Technical,Backend Developer|Full Stack Developer|Software Engineer,Elasticsearch|autocomplete|n-gram|debounce|full-text search|GIN index|fuzzy|Levenshtein|search_after,Full-text search indexing approach|Edge n-gram for prefix autocomplete|Client-side debouncing|Fuzzy matching for typo tolerance,120
89,What is CORS and how does it work?,"CORS (Cross-Origin Resource Sharing) is a browser security mechanism restricting cross-origin HTTP requests. A 'cross-origin' request is to a different domain, port, or protocol. Preflight: browser sends OPTIONS request to check server's CORS policy. Server responds with Access-Control-Allow-Origin, Access-Control-Allow-Methods, Access-Control-Allow-Headers. Simple requests (GET/POST with simple headers) skip preflight. Fix: set appropriate CORS headers in server or API gateway. Never use wildcard (*) with credentials.",Web Security,Backend Architecture,CORS,Easy,Technical,Backend Developer|Full Stack Developer|Software Engineer|Frontend Developer,CORS|cross-origin|preflight|OPTIONS|Access-Control-Allow-Origin|Same-Origin Policy|credentials|wildcard,Same-Origin Policy and CORS purpose|Preflight OPTIONS request trigger|CORS response headers configuration|Wildcard restriction with credentials,90
90,Describe how you would implement a feature flag system.,"Feature flags (feature toggles) enable deploying code without activating it. Implementation: flags stored in Redis/DB with flag name + on/off + targeting rules (% of users, specific user IDs, org IDs). Middleware/SDK checks flag before feature code runs. Types: Release toggles (gradual rollout), Experiment toggles (A/B test), Ops toggles (kill switch), Permission toggles (user tiers). Tools: LaunchDarkly, Unleash, PostHog, AWS AppConfig. Cleanup: remove flags after full rollout to avoid tech debt.",System Design,Software Engineering,Feature Flags,Medium,Technical,Software Engineer|Backend Developer|Full Stack Developer|DevOps Engineer,feature flag|feature toggle|gradual rollout|A/B test|kill switch|LaunchDarkly|Unleash|targeting rules,"Feature flag types (release, experiment, ops)|Targeting rules for gradual rollout|Kill switch for emergency disable|Flag cleanup after full rollout",90
91,"Given an array of integers, find two numbers that sum to a target. Optimize to O(n).","Naive: O(N²) nested loops. Optimal: Hash set approach O(N) — iterate array, for each number check if (target - number) exists in the set. If yes, found pair. Else, add number to set. Single pass, O(N) time, O(N) space. Alternative: Sort + two pointers O(N log N) time, O(1) space — left pointer at start, right at end, move based on sum comparison.",Computer Science,DSA,Two Sum,Easy,DSA,Software Engineer|Backend Developer|Full Stack Developer|Data Scientist,two sum|hash set|hash map|two pointers|O(N)|O(N log N)|complement,Hash set O(N) single-pass approach|Two-pointer O(N log N) alternative|Space vs time trade-off|Complement calculation pattern,120
92,Implement a function to check if a string is a palindrome.,"A palindrome reads the same forwards and backwards. Simple: compare s == s[::-1] (Python). O(N) time/space. Optimized: two pointers — one at start, one at end, compare characters, move inward. O(N) time, O(1) space. Edge cases: empty string (true), single char (true), case sensitivity, ignore spaces/punctuation (clean first). Recursive: base case length 0 or 1, check first == last, recurse on middle.",Computer Science,DSA,String Algorithms,Easy,DSA,Software Engineer|Backend Developer|Frontend Developer|Full Stack Developer,palindrome|two pointers|string|reverse|O(N)|edge cases,Palindrome definition|Two-pointer O(1) space approach|Python reversal shortcut|Edge case handling,60
93,Find the maximum subarray sum (Kadane's algorithm).,"Kadane's algorithm: iterate array tracking current_sum and max_sum. current_sum = max(num, current_sum + num) — either extend previous subarray or start new one at current element. max_sum = max(max_sum, current_sum). O(N) time, O(1) space. Handles all-negative arrays (return max element). Variation: also track start/end indices of max subarray. Brute force O(N²) or O(N³) — avoid.",Computer Science,DSA,Dynamic Programming,Medium,DSA,Software Engineer|Backend Developer|Full Stack Developer|Data Scientist,Kadane|maximum subarray|DP|current_sum|max_sum|O(N)|negative numbers,Kadane's algorithm decision at each element|O(N) single-pass with O(1) space|All-negative array edge case|Index tracking for subarray bounds,90
94,Implement a function to reverse a linked list.,"Iterative (O(N) time, O(1) space): use three pointers — prev=None, curr=head, next_node. For each node: save next_node=curr.next, set curr.next=prev, advance prev=curr, curr=next_node. Return prev as new head. Recursive: base case if not head or not head.next return head. new_head = reverse(head.next), head.next.next = head, head.next = None. Return new_head. O(N) time, O(N) stack space.",Computer Science,DSA,Linked Lists,Easy,DSA,Software Engineer|Backend Developer|Full Stack Developer,reverse linked list|pointer|iterative|recursive|O(N)|O(1)|prev|curr|next,Three-pointer iterative approach|Pointer reassignment sequence|Recursive approach base case|Space complexity comparison,90
95,What is a valid parentheses problem? Solve it with a stack.,"Valid parentheses: check if string of brackets is correctly matched and nested. Stack solution: iterate characters. If opening bracket ({[() → push to stack. If closing bracket → check stack is not empty AND top of stack is matching open bracket. If match: pop. Else: return False. After iteration: stack must be empty. O(N) time, O(N) space. Edge cases: empty string (true), only closing brackets, mismatched types.",Computer Science,DSA,Stack,Easy,DSA,Software Engineer|Backend Developer|Full Stack Developer,parentheses|stack|matching brackets|push|pop|O(N)|valid,Stack push for opening brackets|Matching check for closing brackets|Empty stack validation at end|Edge case: mismatched types,60
97,How do you detect a cycle in a linked list?,"Floyd's Cycle Detection (Tortoise and Hare): two pointers, slow moves 1 step, fast moves 2 steps. If they meet, cycle exists. O(N) time, O(1) space. To find cycle start: after meeting, reset slow to head, both move 1 step — they meet at cycle start. Hash set approach: store visited nodes, check if current node already in set — O(N) time, O(N) space.",Computer Science,DSA,Linked Lists,Medium,DSA,Software Engineer|Backend Developer|Full Stack Developer,cycle detection|Floyd|tortoise and hare|slow|fast|O(N)|O(1)|cycle start,Floyd's two-pointer algorithm|O(1) space advantage|Cycle start detection after meeting|Hash set as O(N) space alternative,90
98,Implement a binary search function.,"Iterative: left=0, right=len(arr)-1. While left <= right: mid = left + (right-left)//2. If arr[mid] == target: return mid. If arr[mid] < target: left=mid+1. Else: right=mid-1. Return -1. Use (right-left)//2 not (left+right)//2 to prevent integer overflow. O(log N) time, O(1) space. Recursive: base case left>right return -1, otherwise compare mid.",Computer Science,DSA,Search Algorithms,Easy,DSA,Software Engineer|Backend Developer|Full Stack Developer|Data Scientist,binary search|left|right|mid|O(log N)|overflow|iterative|recursive,Iterative binary search implementation|Integer overflow prevention with (right-left)//2|O(log N) complexity|Recursive vs iterative choice,60
99,What is a trie data structure and when would you use it?,"A trie (prefix tree) is a tree where each node represents a character in a string. Root is empty. Path from root to a node spells out a prefix. TrieNode has children[26] (or dict) + is_end_of_word. Insert O(L), Search O(L), StartsWith O(L) where L = word length. Applications: autocomplete (all words with prefix), spell checking, IP routing (longest prefix match), contact search. Better than hash table for prefix queries.",Computer Science,DSA,Trees,Medium,DSA,Software Engineer|Backend Developer|Full Stack Developer,trie|prefix tree|autocomplete|TrieNode|children|is_end_of_word|O(L)|prefix,Trie node structure with children and end marker|O(L) insert and search operations|Prefix query advantage over hash table|Autocomplete and spell-check applications,90
100,Explain how merge sort works and implement it.,"Merge sort is divide-and-conquer: divide array in half recursively until single elements, then merge sorted halves. Merge: compare left[i] vs right[j], append smaller to result, append remainder. O(N log N) time always (best/average/worst), O(N) space for merge operation. Stable sort (equal elements maintain relative order). Used in Python's Timsort (hybrid merge sort + insertion sort). Best for: linked lists (O(1) extra space with in-place merge), external sorting (huge datasets).",Computer Science,DSA,Sorting Algorithms,Medium,DSA,Software Engineer|Backend Developer|Full Stack Developer|Data Scientist,merge sort|divide and conquer|O(N log N)|stable|Timsort|merge|O(N) space,Divide-and-conquer recursion|Merge step comparing and combining|O(N log N) stable sort guarantee|Space complexity and linked list advantage,90
101,How does Quick Sort work? What is its average and worst case?,"Quick sort: choose pivot, partition array so elements < pivot are left, > pivot are right. Recursively sort partitions. In-place, O(log N) average stack space. Pivot strategies: last element (bad for sorted arrays — O(N²)), random pivot (avoids worst case), median-of-three. Average O(N log N), Worst case O(N²) for sorted/reverse-sorted arrays with bad pivot. In practice faster than merge sort due to cache efficiency (in-place, better locality).",Computer Science,DSA,Sorting Algorithms,Medium,DSA,Software Engineer|Backend Developer|Full Stack Developer|Data Scientist,quick sort|pivot|partition|O(N log N)|O(N²)|random pivot|median of three|in-place,Pivot selection and partition mechanics|Average vs worst case analysis|Pivot strategy to avoid O(N²)|Cache efficiency advantage,90
102,What is the Product Manager's role in an agile team?,"A PM defines the product vision, manages the backlog, writes user stories, prioritizes features based on business value and user needs. Works with: Engineering (feasibility, estimates), Design (UX), Business stakeholders (alignment), Customers (discovery). Ceremonies: backlog grooming, sprint planning (prioritize what gets built), sprint reviews (demo), retrospectives. Key outputs: PRD (Product Requirements Document), roadmap, acceptance criteria, success metrics (OKRs/KPIs).",Product Management,Behavioral,PM Role,Easy,Behavioral,Product Manager,PM|backlog|user story|sprint|roadmap|OKR|KPI|PRD|stakeholder|prioritization,Product vision and backlog ownership|Stakeholder collaboration scope|Agile ceremony participation|Success metrics and OKR definition,90
103,How do you measure the success of a product feature?,"Define success metrics before shipping: primary metric (e.g., task completion rate, retention), secondary metrics (time-on-task, error rate), guardrail metrics (churn, NPS — ensure feature doesn't harm these). Use A/B testing for comparison. Track funnel drop-off. Qualitative: user interviews, session recordings. Success indicators: adoption rate, engagement, support ticket reduction, revenue impact. Monitor for 2-4 weeks post-launch.",Product Management,Behavioral,Product Metrics,Medium,Behavioral,Product Manager|Data Scientist,success metrics|A/B test|adoption|retention|NPS|funnel|OKR|guardrail metrics,Pre-launch metric definition|Primary vs guardrail metrics distinction|A/B test for causal comparison|Qualitative + quantitative combination,90
104,What is Agile and how does Scrum work?,"Agile is an iterative development methodology valuing: individuals over processes, working software over documentation, customer collaboration over contract negotiation, responding to change over following a plan. Scrum framework: Product Owner (backlog, priorities), Scrum Master (removes blockers, facilitates), Development Team (self-organizing). Sprints: 1-4 week cycles with planning, daily standups, review, retrospective. Artifacts: backlog (product + sprint), definition of done, burndown chart.",Software Engineering,Behavioral,Agile/Scrum,Easy,Behavioral,Software Engineer|Frontend Developer|Backend Developer|Full Stack Developer|QA Engineer|Product Manager|DevOps Engineer,Agile|Scrum|sprint|Product Owner|Scrum Master|backlog|standup|retrospective|definition of done,"Agile manifesto values|Scrum roles (PO, SM, Dev Team)|Sprint structure and ceremonies|Artifacts: backlog and burndown chart",90
105,How do you ensure quality in your code?,"Code quality practices: Code reviews (peer review, at least 1 approver), automated testing (unit + integration + E2E), static analysis (ESLint, PyFlakes, SonarQube), type checking (TypeScript, mypy), consistent code style (Prettier, Black), CI gates (tests must pass before merge), SOLID principles, refactoring (boy scout rule), documentation (docstrings, README), performance profiling for critical paths.",Software Engineering,Behavioral,Code Quality,Medium,Behavioral,Software Engineer|Frontend Developer|Backend Developer|Full Stack Developer|QA Engineer,code review|unit test|static analysis|CI|SOLID|refactoring|documentation|TypeScript|linting,Code review process|Automated test coverage|Static analysis tools|CI pipeline quality gates,60
106,Explain the difference between supervised and unsupervised learning.,"Supervised learning: learns from labeled examples (input → output pairs). Types: Classification (predict category: spam/not-spam), Regression (predict continuous value: price). Algorithms: Linear/Logistic Regression, Decision Trees, Random Forest, SVM, Neural Networks. Unsupervised learning: finds patterns in unlabeled data. Types: Clustering (k-means, DBSCAN, hierarchical), Dimensionality Reduction (PCA, t-SNE, UMAP), Anomaly Detection, Generative Models (GANs, VAEs). Semi-supervised: combines labeled + unlabeled data.",Machine Learning,ML Fundamentals,Learning Types,Easy,Technical,Data Scientist|ML Engineer|Software Engineer,supervised|unsupervised|classification|regression|clustering|labeled|PCA|t-SNE|semi-supervised,Supervised learning with labeled data|Classification vs regression distinction|Unsupervised pattern discovery|Clustering and dimensionality reduction examples,90
107,What is a neural network and how does backpropagation work?,"A neural network has layers of interconnected neurons: input layer, hidden layers, output layer. Each neuron computes weighted_sum of inputs + bias, applies activation function (ReLU, sigmoid, tanh, softmax). Forward pass: compute predictions. Loss function measures error. Backpropagation: compute gradient of loss w.r.t. each weight using chain rule (dL/dw = dL/dy * dy/dw). Gradient descent updates weights to minimize loss. Deep learning = neural nets with many hidden layers.",Machine Learning,Deep Learning,Neural Networks,Hard,Technical,Data Scientist|ML Engineer|Software Engineer,neural network|backpropagation|gradient|chain rule|activation function|ReLU|loss function|forward pass|weights,Forward pass computation|Loss function and error measurement|Backpropagation chain rule|Gradient descent weight update,120
108,What are the principles of good API design?,"Good API design: consistency (naming conventions, response formats), intuitiveness (predictable URLs, verbs match HTTP semantics), versioning (/v1/ prefix), proper status codes (200, 201, 400, 401, 403, 404, 422, 429, 500), meaningful error messages (error code, message, field), pagination for collections, filtering and sorting params, idempotency for mutations, authentication (Bearer token/API key), rate limiting, documentation (OpenAPI/Swagger), HATEOAS for discoverability.",System Design,API Design,API Best Practices,Medium,Technical,Backend Developer|Full Stack Developer|Software Engineer,API design|REST|versioning|status codes|error messages|pagination|idempotency|OpenAPI|Swagger,Consistent naming and URL structure|Proper HTTP status code usage|Meaningful error response format|Versioning and documentation,90
109,How do you approach system design for a large-scale application?,"Approach: 1) Clarify requirements (functional + non-functional: scale, latency, consistency). 2) Estimate scale (QPS, storage, bandwidth). 3) High-level design (components, data flow). 4) Deep dive (DB schema, API design, caching strategy, message queues). 5) Identify bottlenecks (where will it fail at scale?). 6) Discuss trade-offs. Key patterns: sharding, caching, CDN, async processing, microservices, load balancing, circuit breaker. Always state assumptions explicitly.",System Design,System Design,System Design Process,Hard,Technical,Software Engineer|Backend Developer|Full Stack Developer|Cloud Engineer,system design|QPS|sharding|caching|CDN|microservices|load balancing|circuit breaker|trade-offs,Requirements clarification first|Scale estimation approach|Bottleneck identification|Trade-off discussion,180
110,What is the CAP theorem? How does it affect your database choice?,"CAP: Consistency (reads return latest write), Availability (every request gets response), Partition Tolerance (works despite network failure). Must sacrifice one when partitioned. Real choice: CP vs AP. CP systems (PostgreSQL, MongoDB, HBase) prioritize consistency — return error if cannot guarantee fresh data. AP systems (Cassandra, DynamoDB, CouchDB) prioritize availability — return potentially stale data. Stateless apps: prefer AP for resilience. Financial transactions: require CP/ACID.",Distributed Systems,System Design,Database Selection,Hard,Technical,Backend Developer|Software Engineer|Cloud Engineer|Data Engineer|Database Administrator,CAP|consistency|availability|partition tolerance|PostgreSQL|Cassandra|DynamoDB|ACID|BASE,CAP properties and partition tolerance reality|CP vs AP practical choice|Database examples for each|Use case matching to consistency requirements,120
111,What is React.memo and when should you use it?,"React.memo is a higher-order component that memoizes a functional component — prevents re-render if props haven't changed (shallow comparison). Use when: component renders frequently, props rarely change, rendering is expensive. Don't overuse — memoization has overhead (comparison cost). Combine with useCallback for function props and useMemo for object/array props (prevent new reference on each render). Use React DevTools Profiler to identify unnecessarily re-rendering components before optimizing.",React,Frontend Architecture,Performance Optimization,Medium,Technical,Frontend Developer|Full Stack Developer|Software Engineer,React.memo|memoization|re-render|shallow comparison|useCallback|useMemo|props|Profiler|optimization,React.memo shallow comparison mechanism|When memoization is beneficial|useCallback and useMemo combination|Profiler-guided optimization approach,90
112,How does PostgreSQL implement ACID transactions?,"Atomicity: WAL (Write-Ahead Log) — all changes logged before applied; on crash, roll back uncommitted transactions. Consistency: constraints (FK, CHECK, UNIQUE) enforced before commit. Isolation: MVCC (Multi-Version Concurrency Control) — readers don't block writers; each transaction sees a snapshot. Isolation levels: Read Committed (default), Repeatable Read, Serializable. Durability: fsync writes WAL to disk before acknowledging commit.",Databases,Database Architecture,PostgreSQL Internals,Hard,Technical,Backend Developer|Database Administrator|Full Stack Developer|Software Engineer,PostgreSQL|ACID|WAL|MVCC|isolation|atomicity|consistency|durability|transaction|fsync,WAL for atomicity and crash recovery|MVCC for reader-writer non-blocking|Isolation levels in PostgreSQL|fsync for durability guarantee,120
113,What is a closure in JavaScript?,"A closure is a function that retains access to its outer (enclosing) scope's variables even after the outer function has returned. Created whenever a function is defined inside another function. Common uses: data privacy (module pattern), factory functions, event handlers with captured state, memoization, partial application/currying. Memory consideration: closures prevent garbage collection of captured variables — can cause memory leaks if not managed.",JavaScript,Software Engineering,Closures,Medium,Technical,Frontend Developer|Full Stack Developer|Software Engineer,closure|scope|lexical scope|outer function|captured variable|module pattern|factory function|currying,"Closure as function retaining outer scope|Lexical scoping mechanism|Practical use cases (privacy, factory)|Memory leak risk from retained references",90
114,What is a deadlock in databases and how does PostgreSQL handle it?,"Database deadlock: two transactions each wait for a lock held by the other — circular dependency. PostgreSQL detects deadlocks by running a deadlock detection algorithm periodically (default 1 second). When detected, PostgreSQL chooses the 'lighter' transaction to abort (returning a deadlock error to the client). Client should: catch error, retry transaction. Prevention: acquire locks in consistent global order, minimize transaction duration, use SELECT FOR UPDATE NOWAIT/SKIP LOCKED for non-blocking patterns.",Databases,Database Architecture,Concurrency Control,Hard,Technical,Backend Developer|Database Administrator|Full Stack Developer|Software Engineer,deadlock|transaction|lock|circular dependency|detection|abort|retry|SELECT FOR UPDATE|NOWAIT,Deadlock circular wait definition|PostgreSQL detection and victim selection|Client retry pattern|Prevention via lock ordering,120
115,What is the Observer pattern and how is it implemented in JavaScript?,"Observer pattern: subject maintains a list of observers (subscribers), notifies them on state change. JavaScript: EventEmitter (Node.js), addEventListener (DOM events), custom implementation with subscribe/publish/unsubscribe. Modern variants: RxJS Observable (reactive streams), Redux store (subscribers via subscribe()), React context + useReducer. Key advantage: loose coupling — subject and observers don't know each other's implementation. Risk: too many subscribers or forgotten unsubscription → memory leaks.",Software Engineering,Object Oriented Design,Design Patterns,Medium,Technical,Frontend Developer|Backend Developer|Full Stack Developer|Software Engineer,Observer|EventEmitter|subscribe|publish|unsubscribe|RxJS|event driven|loose coupling,Observer pattern structure (subject/observer)|JavaScript EventEmitter implementation|Memory leak from forgotten unsubscription|Modern variants: RxJS and Redux store,90
116,How would you design a real-time collaborative document editor (like Google Docs)?,"Core challenges: conflict resolution for concurrent edits, real-time sync. Approaches: Operational Transformation (OT) — Google Docs approach, transforms concurrent operations to be compatible. CRDTs (Conflict-free Replicated Data Types) — merge concurrent changes without coordination, offline-first. Architecture: WebSocket for real-time sync, Redis Pub/Sub for broadcasting changes, operational history for undo/redo, snapshot + incremental operations for persistence. Client-side: optimistic updates for responsiveness.",System Design,System Design,Collaborative Systems,Hard,Technical,Software Engineer|Backend Developer|Full Stack Developer,collaborative editing|OT|CRDT|WebSocket|Redis Pub/Sub|conflict resolution|operational transformation|optimistic update,OT vs CRDT conflict resolution approaches|WebSocket for real-time bidirectional sync|Redis Pub/Sub for change broadcasting|Optimistic updates for perceived performance,180
